name,label,price,url,img,description,tracklist
"The Night of the Purple Moon, Sun Ra",1990 White Label Vinyl LP,$34.00,http://www.planetmusic33.com/the-night-of-the-purple-moon-sun-ra-1990-white-label-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/14022/images/8469/sun_ra_purple_moon__19643.1481271301.285.365.jpg?c=2,Rare white label pressing with title written on labels in blue ink. Vinyl plays great w/minor surface wear not affecting play. LP cover looks like new. See our listings for other classic Sun Ra titles...,"Sun-Earth Rock, The All Of Everything, Impromptu Festival, Blue Soul, Narrative, Outside The Time Zone, The Night Of The Purple Moon, A Bird's Eye-View Of Man's World, 21st Century Romance, Dance Of The Living Image, Love In Outer Space"
"White Rabbit, George Benson",Rare 1982 White Label Vinyl LP,$24.00,http://www.planetmusic33.com/white-rabbit-george-benson-rare-1982-white-label-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/14003/images/8401/white_rabbit_george_benson__09708.1480748197.285.365.jpg?c=2,Rare radio station copy (w/text on white labels) w/near mint vinyl and frame-ready LP cover. that has minimum shelf wear and no holes/slices. 1971 CTI release (6015). See our listings for more GeorgeB classics....,"White Rabbit, Theme From Summer Of '42, Little Train, California Dreaming, El Mar"
"Sky Street, Kenny Burrell",1976 Fantasy Release w/Clean Vinyl,$18.00,http://www.planetmusic33.com/sky-street-kenny-burrell-1976-fantasy-release-w-clean-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/14002/images/8400/sky_street__98605.1480447458.285.365.jpg?c=2,Very clean vinyl with frame-ready LP cover (as pictured w/nearly no visible shelf wear and no holes/slices). See our listings for more Burrell titles...,"3000 Miles Back Home, Kim-Den Strut, Habiba, Quiet Lady"
"On the Live Side, Ben Sidran (Steve Miller)",1986 Sealed Vinyl LP,$19.95,http://www.planetmusic33.com/on-the-live-side-ben-sidran-steve-miller-1986-sealed-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13964/images/8316/on_the_live_side__44326.1479066140.285.365.jpg?c=2,"Sealed 1986 vinyl LP on Magenta label (MA-0206) recorded live with all-star back-up players including Steve Miller (guitar, vocals) and Phil Woods (alto sax). Tracks include a five minute-plus rendition of Space Cowboy.  LP cover is frame-ready w/a small and nearly missed notch cut (1/32?).","The Doctor's Blues, Piano Players, A Good Travel Agent, Mitsubishi Boy, On The Cool Side, Space Cowboy, Last Dance"
"Live Songs, Leonard Cohen","Shrink Cover, 1973 LP w/Mint Vinyl",$48.00,http://www.planetmusic33.com/live-songs-leonard-cohen-shrink-cover-1973-lp-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13934/images/8395/leonard_cohen_live_songs__89865.1480320636.285.365.jpg?c=2,"Original 1973 release still in shrink-wrap with very clean vinyl. See our listings for more classic Leonard Cohen.  RIP Cohen, you'll always be 'the man'....","Minute Prologue, Passing Through, You Know Who I Am, Bird On The Wire, Nancy, Improvisation, Story Of Isaac, Please Don't Pass Me By (A Disgrace), Tonight Will Be Fine, Queen Victoria"
The Legendary Django (Reinhardt),"Sealed 180 gm EU Import Vinyl, 15 Tracks",$19.95,http://www.planetmusic33.com/the-legendary-django-reinhardt-sealed-180-gm-eu-import-vinyl-15-tracks/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13811/images/8007/legendary_django_front_cover__83854.1473630768.285.365.jpg?c=2,New sealed EU import mono release on 180 gram vinyl. Tracklist follows. See our listings for more titles from the gypsy master guitarist...,"Daphne, You Took Advantage Of Me, Sweet Georgia Brown, My Serenade, Nagune, Stephen's Blues, In The Sentimental Mood, Solitude, I'll See You In My Dreams, Stockholm, Echoes Of Spain, Younger Generation, Blues, Vendredi, Rhythm Futur"
Django Plays Gerswhin & Ellington,Sealed 180 Gram Vinyl LP,$19.95,http://www.planetmusic33.com/django-plays-gerswhin-ellington-sealed-180-gram-vinyl-lp/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13810/images/8005/django_plays_gerswhin__38287.1473630085.285.365.jpg?c=2,New sealed 180 gram release. Tracklist follows. See our listings for more Django titles...,"Lady Be Good [1934], Embraceable You, Somebody Loves Me, The Man I Love [1939], Liza [1949], I Got Rhythm [1949], In A Sentimental Mood, Solitude, C Jam Blues [1949], Sophisticated Lady, Ride, Red, Ride, A Blues Riff, Honeysuckle Rose, Improvisation No.7, Duke And Dukie"
"Where Flamingos Fly, Gil Evans",1981 First Pressing w/Mint Vinyl,$39.95,http://www.planetmusic33.com/where-flamingos-fly-gil-evans-1981-first-pressing-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13791/images/7961/gil_evans_lp__80391.1472328497.285.365.jpg?c=2,Rare like new vinyl for this 1981 classic Gil Evans LP.  The LP cover (as pictured) is frame-ready w/only minimum shelf wear and no ring wear discoloring and no holes/slices. See our listings for more Gil titles...,
Best of Charles Lloyd,Original 1970 Atlantic Release w/Mint Vinyl,$28.00,http://www.planetmusic33.com/best-of-charles-lloyd-original-1970-atlantic-release-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13671/images/7742/best_of_charles_lloyd__05435.1469216228.285.365.jpg?c=2,Type a description for this product here...,
"The Collection, Her Golden Hits NINA SIMON",1987 Import w/Mint Vinyl,$26.95,http://www.planetmusic33.com/the-collection-her-golden-hits-nina-simon-1987-import-w-mint-vinyl/,http://cdn1.bigcommerce.com/server4100/gcn15dx3/products/13632/images/7668/nina_simone_her_collection__11772.1467314378.285.365.jpg?c=2,Rare 1987 Italian import on the DejaVu label.  Vinyl is very clean and LP cover is frame-ready w/minimum shelf wear. See our listings for more Nina titles...,
